                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77958,                 2.9587,                 1.1953,                0.00364,                  0.875,                0.37355,                0.29136,                0.51559,                 3.4926,                 1.1015,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.79689,                 2.8371,                 1.1722,                 0.0035,                  0.875,                0.48494,                0.41434,                 0.5698,                 3.4436,                 1.1395,              0.0001426,              0.0001426,              0.0001426
                      3,                0.76156,                  2.312,                  1.165,                0.00372,                0.95833,                0.52556,                0.43848,                0.60531,                 3.2457,                 1.1481,             0.00021028,             0.00021028,             0.00021028
                      4,                0.83727,                  1.817,                 1.2283,                0.38376,                  0.625,                0.52855,                0.45012,                0.62706,                 3.1769,                 1.2165,              0.0002697,              0.0002697,              0.0002697
                      5,                0.77865,                 1.8052,                 1.1785,                0.87389,                0.12389,                0.64472,                0.50581,                0.60233,                 3.2186,                 1.2049,             0.00032086,             0.00032086,             0.00032086
                      6,                0.74875,                 1.5807,                 1.1061,                0.87727,                0.12879,                0.59484,                0.49151,                0.65653,                 3.2166,                 1.2464,             0.00036378,             0.00036378,             0.00036378
                      7,                 0.7594,                 1.5892,                  1.214,                0.86616,                0.36496,                0.68941,                0.53309,                0.74287,                 3.1046,                 1.4039,             0.00039845,             0.00039845,             0.00039845
                      8,                0.75632,                 1.4013,                  1.182,                0.84486,                0.54167,                0.72022,                  0.561,                0.80965,                 2.9283,                 1.4891,             0.00042486,             0.00042486,             0.00042486
                      9,                0.81076,                 1.4265,                 1.1623,                0.71728,                 0.3625,                0.69242,                 0.5185,                0.67061,                 2.9954,                  1.369,             0.00044302,             0.00044302,             0.00044302
                     10,                0.79538,                 1.3624,                 1.1295,                0.78198,                0.30176,                0.64805,                0.48592,                0.78033,                  3.046,                 1.4537,             0.00045293,             0.00045293,             0.00045293
