                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77919,                 2.1641,                 1.1481,                0.91546,                0.50134,                0.72191,                0.60981,                0.61091,                 3.2083,                 1.2445,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.73244,                 1.9362,                 1.0981,                0.86611,                 0.4962,                0.73346,                 0.6166,                 0.6655,                 2.8209,                 1.2941,             0.00013518,             0.00013518,             0.00013518
                      3,                0.69525,                 1.7442,                 1.1065,                0.81916,                0.66021,                0.74513,                0.62066,                0.74333,                 2.5823,                 1.4409,             0.00018717,             0.00018717,             0.00018717
                      4,                0.68531,                 1.7721,                 1.0643,                0.78782,                0.60281,                0.76512,                0.63605,                0.66213,                 2.6585,                 1.2588,             0.00022266,             0.00022266,             0.00022266
                      5,                0.65488,                 1.6886,                 1.0785,                0.69895,                0.58496,                0.68127,                 0.4783,                0.80937,                 2.8563,                 1.3813,             0.00024165,             0.00024165,             0.00024165
                      6,                 0.6969,                 1.5909,                 1.1322,                0.64362,                0.54167,                0.68606,                0.45024,                0.89635,                  2.852,                 1.4802,             0.00024413,             0.00024413,             0.00024413
                      7,                0.73888,                 1.5995,                 1.0986,                0.75092,                 0.6801,                0.75325,                0.58617,                0.75392,                  2.558,                 1.3457,             0.00023011,             0.00023011,             0.00023011
                      8,                0.69851,                 1.5264,                 1.0951,                0.87265,                0.65911,                0.77419,                0.63888,                0.76321,                 2.3991,                 1.3383,             0.00019959,             0.00019959,             0.00019959
                      9,                0.64465,                 1.4991,                 1.0498,                0.57212,                0.70833,                0.74617,                0.61028,                0.72966,                 2.4763,                 1.3021,             0.00015256,             0.00015256,             0.00015256
                     10,                0.65226,                 1.4581,                 1.0384,                0.68655,                0.66667,                0.71033,                0.57675,                0.71888,                 2.5169,                 1.3155,             8.9034e-05,             8.9034e-05,             8.9034e-05
