                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59583,                 1.5433,                  1.026,                0.28779,                0.16667,                0.22609,                0.15449,                 1.0615,                 3.1565,                 1.7465,                 0.0982,                 0.0002,                 0.0002
                      2,                 1.0436,                  1.921,                 1.3112,                0.04142,                0.08333,                0.03424,                0.02036,                 1.3836,                 3.9635,                 2.1199,               0.095488,             0.00048789,             0.00048789
                      3,                 1.2509,                 2.1408,                 1.6014,                0.65818,                   0.25,                0.16265,                0.07188,                 2.5028,                 4.5355,                 4.4004,               0.092724,             0.00072437,             0.00072437
                      4,                 1.4561,                 2.4284,                 1.6262,                0.09137,                  0.125,                0.01741,                0.00329,                 3.1003,                 15.235,                  4.438,               0.089876,             0.00087555,             0.00087555
                      5,                 1.3744,                  2.035,                 1.7589,                0.00849,                0.45833,                0.05323,                0.03066,                 2.2533,                 138.83,                  5.083,               0.086921,             0.00092115,             0.00092115
                      6,                 1.4664,                 2.0478,                 1.9156,                 0.0512,                0.57436,                0.06708,                0.02349,                 2.4175,                 81.926,                 5.2664,               0.083859,              0.0008585,              0.0008585
                      7,                 1.4308,                 1.9962,                 1.6727,                0.03106,                   0.75,                0.06383,                0.02004,                 2.6613,                 436.07,                 9.8762,               0.080704,             0.00070407,             0.00070407
                      8,                 1.5143,                 1.8523,                 1.7076,                0.03639,                0.45833,                0.03544,                0.01831,                  2.497,                 388.68,                 9.6516,               0.077492,             0.00049231,             0.00049231
                      9,                 1.2538,                 1.6394,                 1.6206,                 0.0345,                0.41667,                0.07179,                0.03225,                 2.4054,                 284.04,                 9.8648,               0.074272,              0.0002718,              0.0002718
                     10,                 1.0361,                 1.3335,                 1.4294,                0.08333,                0.41667,                0.05854,                0.02624,                 2.0066,                 143.32,                  6.326,               0.071099,             9.9258e-05,             9.9258e-05
