                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90973,                 4.5964,                 1.3562,                0.00203,                0.90476,                 0.1738,                0.13387,                0.54081,                 3.8356,                 1.0781,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.69452,                 3.9641,                 1.2167,                0.00219,                0.97619,                0.28921,                0.17855,                0.81153,                 3.9815,                 1.4076,             0.00013518,             0.00013518,             0.00013518
                      3,                0.61482,                 3.6567,                 1.1898,                0.00218,                0.97619,                0.30479,                0.20069,                0.84071,                 3.8983,                 1.5091,             0.00018717,             0.00018717,             0.00018717
                      4,                0.64956,                 3.2438,                 1.2038,                0.00218,                0.97619,                0.43826,                0.32928,                0.71598,                 3.8086,                  1.329,             0.00022266,             0.00022266,             0.00022266
                      5,                0.72261,                 3.2201,                 1.2011,                0.00224,                      1,                0.48292,                0.38741,                0.65148,                 3.6976,                  1.233,             0.00024165,             0.00024165,             0.00024165
                      6,                0.57235,                 3.1803,                 1.0931,                0.24754,                0.70421,                0.53203,                0.44693,                0.64771,                 3.5742,                  1.151,             0.00024413,             0.00024413,             0.00024413
                      7,                 0.5853,                 2.9323,                 1.0922,                0.92777,                0.11409,                0.70503,                0.58133,                0.56252,                 3.4212,                 1.0727,             0.00023011,             0.00023011,             0.00023011
                      8,                0.58926,                 2.8556,                 1.1342,                0.96254,                0.23779,                0.69369,                0.59994,                0.51253,                 3.3702,                 1.0588,             0.00019959,             0.00019959,             0.00019959
                      9,                0.52094,                 2.7546,                 1.0383,                0.97004,                0.30195,                0.76037,                0.65012,                0.52517,                 3.3634,                 1.0649,             0.00015256,             0.00015256,             0.00015256
                     10,                0.56718,                 2.7755,                 1.0357,                0.97015,                0.39775,                 0.7921,                0.67484,                0.50524,                 3.3249,                 1.0304,             8.9034e-05,             8.9034e-05,             8.9034e-05
