                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81676,                 3.3807,                 1.1639,                0.00343,                  0.875,                0.26978,                0.15228,                0.54048,                 3.3559,                 1.1078,                0.09802,                  2e-05,                  2e-05
                      2,                0.91011,                 3.4166,                 1.2469,                0.00343,                  0.875,                0.27026,                0.17101,                0.53746,                 3.3456,                 1.1039,               0.095045,              4.505e-05,              4.505e-05
                      3,                 0.8113,                 3.2853,                 1.2044,                0.00344,                  0.875,                0.26578,                0.16498,                0.53657,                 3.3343,                 1.1006,               0.092064,              6.416e-05,              6.416e-05
                      4,                0.80754,                 3.3201,                 1.1668,                0.00343,                  0.875,                0.27869,                0.17013,                0.52871,                 3.3216,                 1.1036,               0.089077,              7.733e-05,              7.733e-05
                      5,                0.71002,                 3.2171,                 1.2009,                0.00343,                  0.875,                0.28106,                0.19079,                0.52702,                 3.3115,                 1.1083,               0.086085,              8.456e-05,              8.456e-05
                      6,                0.78063,                 3.2806,                 1.2605,                0.00324,                0.83333,                 0.2882,                 0.2007,                0.53077,                 3.2921,                 1.1078,               0.083086,              8.585e-05,              8.585e-05
                      7,                0.85023,                 3.3815,                 1.1905,                0.00324,                0.83333,                0.31777,                0.23403,                0.52499,                 3.2736,                 1.0963,               0.080081,               8.12e-05,               8.12e-05
                      8,                0.81342,                 3.3582,                  1.184,                0.00324,                0.83333,                0.33994,                0.26304,                0.51578,                 3.2541,                 1.0926,               0.077071,              7.061e-05,              7.061e-05
                      9,                0.81346,                 3.1722,                 1.2067,                0.00324,                0.83333,                0.35963,                0.28303,                0.50886,                 3.2366,                 1.0958,               0.074054,              5.408e-05,              5.408e-05
                     10,                0.84876,                  3.152,                 1.2242,                0.00343,                  0.875,                0.36659,                 0.2887,                0.51596,                  3.233,                 1.0946,               0.071032,              3.161e-05,              3.161e-05
