                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1076,                 4.2177,                 1.3946,                0.40337,                0.78045,                0.49046,                0.40261,                0.60552,                 4.6013,                 1.1881,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.81149,                 2.6609,                 1.2284,                0.57496,                0.65261,                0.56583,                0.46522,                 0.6693,                 4.8081,                 1.2774,             0.00013518,             0.00013518,             0.00013518
                      3,                0.72149,                 2.0044,                 1.1957,                0.96233,                0.78684,                0.82934,                0.67782,                0.71265,                 2.9311,                 1.3756,             0.00018717,             0.00018717,             0.00018717
                      4,                0.82244,                 1.7353,                 1.1959,                0.52676,                   0.75,                 0.5779,                0.49133,                0.66982,                 2.7185,                 1.2508,             0.00022266,             0.00022266,             0.00022266
                      5,                0.80082,                 1.5966,                 1.2608,                0.69149,                0.58333,                0.62558,                 0.5141,                0.68559,                 3.9028,                 1.2949,             0.00024165,             0.00024165,             0.00024165
                      6,                0.70008,                  1.394,                 1.1386,                0.66245,                0.62189,                0.63329,                0.52587,                0.71306,                  2.544,                  1.311,             0.00024413,             0.00024413,             0.00024413
                      7,                 0.7782,                 1.3754,                 1.1114,                0.58188,                0.70833,                0.60482,                0.50469,                0.72533,                 2.2203,                 1.3068,             0.00023011,             0.00023011,             0.00023011
                      8,                0.71737,                 1.1843,                 1.1287,                0.65418,                  0.625,                0.57774,                0.48978,                0.68695,                   2.19,                 1.2602,             0.00019959,             0.00019959,             0.00019959
                      9,                0.65907,                 0.9955,                 1.0548,                0.52369,                0.58333,                0.54237,                0.46158,                0.68382,                 2.3348,                  1.284,             0.00015256,             0.00015256,             0.00015256
                     10,                0.70936,                 1.0562,                 1.0606,                0.56349,                0.58205,                0.55119,                0.46368,                0.69999,                 2.2054,                 1.3336,             8.9034e-05,             8.9034e-05,             8.9034e-05
