                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93468,                 3.6258,                 1.2278,                0.00353,                  0.875,                0.25935,                0.16282,                0.56074,                 3.5128,                 1.1314,                0.09802,                  2e-05,                  2e-05
                      2,                 1.0645,                  3.697,                 1.3373,                0.00343,                  0.875,                0.25961,                0.16838,                  0.567,                 3.4904,                 1.1368,               0.095045,              4.505e-05,              4.505e-05
                      3,                  1.001,                 3.5466,                 1.3233,                0.00343,                  0.875,                0.27595,                0.18039,                0.56017,                 3.4747,                 1.1334,               0.092064,              6.416e-05,              6.416e-05
                      4,                 0.8886,                 3.5107,                 1.2193,                0.00343,                  0.875,                0.27483,                0.17826,                 0.5484,                 3.4592,                 1.1179,               0.089077,              7.733e-05,              7.733e-05
                      5,                0.87167,                  3.472,                 1.3382,                0.00343,                  0.875,                0.27731,                 0.1908,                0.55052,                 3.4446,                 1.1183,               0.086085,              8.456e-05,              8.456e-05
                      6,                0.88691,                 3.5367,                 1.3514,                0.00343,                  0.875,                0.28578,                0.20214,                0.54685,                 3.4251,                 1.1146,               0.083086,              8.585e-05,              8.585e-05
                      7,                 0.9751,                 3.5723,                 1.2824,                0.00343,                  0.875,                0.28737,                0.20263,                0.54267,                 3.4068,                 1.1098,               0.080081,               8.12e-05,               8.12e-05
                      8,                0.91301,                 3.4982,                 1.2405,                0.00324,                0.83333,                0.29423,                0.21964,                0.53851,                 3.3898,                 1.1057,               0.077071,              7.061e-05,              7.061e-05
                      9,                0.88074,                 3.3651,                 1.2657,                0.00343,                  0.875,                  0.296,                0.22492,                0.52573,                 3.3724,                 1.1023,               0.074054,              5.408e-05,              5.408e-05
                     10,                0.89687,                 3.3557,                 1.2281,                0.00343,                  0.875,                0.30225,                0.23068,                0.52373,                 3.3631,                 1.0997,               0.071032,              3.161e-05,              3.161e-05
